nomer;faza;slozhnost;istochnik;sostoyanie;nazvanie;primechanie
IMP-032;4;очень простой;назначено архитектором;не начат;Решение владельца о вводе рецензента;
IMP-033;4;сложный;назначено архитектором;не начат;Рецензент обязательным на критическом пути;
IMP-034;4;средний;назначено архитектором;не начат;Ограничение локального яруса;
IMP-035;4;сложный;назначено архитектором;не начат;Датчик здоровья рецензента;
IMP-036;4;средний;назначено архитектором;не начат;Нормализатор потребления;
IMP-037;4;средний;назначено архитектором;не начат;Датированный каталог цен;
IMP-038;4;средний;назначено архитектором;не начат;Оценщик стоимости;
IMP-039;4;простой;назначено архитектором;не начат;Доля квоты как первичная величина;
IMP-040;4;сложный;назначено архитектором;не начат;Храповик;
IMP-041;4;простой;назначено архитектором;не начат;Учёт времени владельца;
IMP-042;5;сложный;назначено архитектором;не начат;Режимы автономности;
IMP-043;5;очень сложный;назначено архитектором;не начат;Восстановление после перезапуска в конвейере;
IMP-044;5;средний;назначено архитектором;не начат;Диспетчер в теневом режиме;
IMP-045;5;сложный;назначено архитектором;не начат;Классификатор из полей контракта;
IMP-046;5;средний;назначено архитектором;не начат;Монотонность и версионирование класса;
IMP-047;5;простой;назначено архитектором;не начат;Диспетчер на операции без записи;
IMP-048;5;средний;назначено архитектором;не начат;Измерение экономии диспетчера;
IMP-049;5;средний;назначено архитектором;не начат;Пороги останова числами;
IMP-050;5;сложный;назначено архитектором;не начат;Самопроверка датчиков одной командой;
IMP-051;6;сложный;назначено архитектором;не начат;Конструктор контракта задачи;
IMP-052;6;средний;назначено архитектором;не начат;Очередь и шкала статуса;
IMP-053;6;простой;назначено архитектором;не начат;Карточка решения;
IMP-054;6;средний;назначено архитектором;не начат;Индикатор эффективности;
IMP-055;6;средний;назначено архитектором;не начат;Отдельный Пульт кодера;
IMP-056;6;очень сложный;назначено архитектором;не начат;Мобильный Пульт с подписью устройства;
IMP-057;6;простой;назначено архитектором;не начат;Уведомления отдельно от решений;
IMP-058;6;сложный;назначено архитектором;не начат;Decision Broker;
IMP-059;6;средний;назначено архитектором;не начат;Release Broker в теневом режиме;
IMP-060;6;сложный;назначено архитектором;не начат;Отрицательные испытания права выпуска;
IMP-061;6;простой;назначено архитектором;не начат;Блокирующий отказ политики брокеру;
IMP-062;6;очень простой;назначено архитектором;не начат;Ратификация К-2 владельцем;
IMP-063;6;очень сложный;назначено архитектором;не начат;Release Broker на боевом пути;
IMP-064;6;средний;назначено архитектором;не начат;Чтение фактического результата выпуска;
IMP-065;6;сложный;назначено архитектором;не начат;Датчик выпуска и отката;
IMP-066;6;очень сложный;назначено архитектором;не начат;Реализация К-9;
IMP-067;6;сложный;назначено архитектором;не начат;Испытания К-9;
IMP-068;6;очень простой;назначено архитектором;не начат;Ратификация К-10 и standing policy с числовыми порогами;критерий приёмки в плане отсутствует
IMP-069;7;сложный;назначено архитектором;не начат;Определение AgentMesh в каноне;
IMP-070;7;сложный;назначено архитектором;не начат;Версионированный адаптер интеграции;
IMP-071;7;средний;назначено архитектором;не начат;Пакет намерения и семантический хеш;
IMP-072;7;простой;назначено архитектором;не начат;Сквозной идентификатор корреляции;
IMP-073;7;средний;назначено архитектором;не начат;Возврат отчёта и пакета доказательств;
IMP-074;7;средний;назначено архитектором;не начат;Теневой прогон межсистемного контура;
IMP-075;7;очень сложный;назначено архитектором;не начат;Реальная задача под наблюдением;
IMP-076;7;средний;назначено архитектором;не начат;Проверка независимости контуров;
IMP-077;8;средний;назначено архитектором;не начат;Выбор и аудит продукта для роли Hermes Runner;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-078;8;сложный;назначено архитектором;не начат;Подписанный пакет удалённой работы;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-079;8;сложный;назначено архитектором;не начат;Транспорт как недоверенный канал;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-080;8;сложный;назначено архитектором;не начат;Разделение четырёх фактов: доставлено, выполнено, проверено, принято;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-081;8;средний;назначено архитектором;не начат;Приёмка результата центром по содержанию;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-082;8;средний;назначено архитектором;не начат;Испытание отзыва и просрочки пакета;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-083;8;сложный;назначено архитектором;не начат;Пилот одного удалённого места;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-084;9;средний;назначено архитектором;не начат;Центральная конфигурация;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-085;9;очень сложный;назначено архитектором;не начат;Установщик и развёртывание на чистой машине;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-086;9;сложный;назначено архитектором;не начат;Хранилище секретов;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-087;9;сложный;назначено архитектором;не начат;Резервирование и два учения по восстановлению;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-088;9;средний;назначено архитектором;не начат;Датчик зависимостей и лицензий;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-089;9;средний;назначено архитектором;не начат;Датчик производительности;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-090;9;сложный;назначено архитектором;не начат;Датчик визуальной регрессии;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-091;9;средний;назначено архитектором;не начат;Измеритель надёжности и журнал происшествий;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-092;9;простой;назначено архитектором;не начат;Инструкции по эксплуатации;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-093;9;средний;назначено архитектором;не начат;Коммерческий пакет на месте;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-094;10;простой;назначено архитектором;не начат;Гейт перехода на сервер;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-095;10;очень сложный;назначено архитектором;не начат;Серверная архитектура и разграничение прав;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-096;10;очень сложный;назначено архитектором;не начат;Центральная очередь и изоляция клиентов;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-097;10;сложный;назначено архитектором;не начат;Командные квоты и серверные пульты;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
IMP-098;10;сложный;назначено архитектором;не начат;Коммерческий пилот на сервере;критерий приёмки в плане отсутствует. условная фаза, вне обязательного объёма
VN-1;—;средний;измерено;закрыт;CANON-INV-001: инвентаризация дублированной защиты;коммит 6efe369, строк 368. вне процентов плана
VN-2;—;средний;измерено;закрыт;Поправка о стерильной записи, ратифицирована владельцем;коммит bffa2db, строк 339. вне процентов плана
VN-3;—;средний;измерено;закрыт;Поправка о безруком судье, ратифицирована владельцем;коммит dad35ad, строк 278. вне процентов плана
VN-4;—;очень сложный;измерено;закрыт;CANON-MUT-LAYER-001: стенд мутаций на одноразовом слое;коммит 0626d83, строк 1208. вне процентов плана
VN-5;—;очень сложный;измерено;закрыт;CANON-ATTEST-001: аттестация готовности из двенадцати полей;коммит 36f4b69, строк 1964. вне процентов плана
VN-6;—;сложный;измерено;закрыт;CANON-VERIFY-001: проверяльщик записи, семь проверок;коммит 9a9f0f6, строк 888. вне процентов плана
VN-7;—;простой;измерено;закрыт;CANON-VERIFY-002: проверяльщик в воротах теневым режимом;коммит 5a1934c, строк 142. вне процентов плана
VN-8;—;сложный;измерено;закрыт;CANON-STEPSTATE-001 и -002: состояние шага из реестра;коммит 840e954, строк 1025. вне процентов плана
VN-9;—;очень простой;измерено;закрыт;Исправление: замок целостности внесён в хранилище;коммит 5505664, строк 1. исправление предыдущего коммита. вне процентов плана
VN-10;—;очень сложный;измерено;закрыт;CANON-PUBLISH-001 и -MUT: публикация по назначению файла;коммит 2724fdd, строк 12093 — объём переезда, не работы. вне процентов плана
VN-11;—;сложный;измерено;закрыт;CANON-JUDGE-MUT-001: отрицательный контроль рецензента;коммит 540aca7, строк 796. вне процентов плана
VN-12;—;очень сложный;измерено;закрыт;PROP-014-001, -001a, -001b: развязка табло и измерителя;коммит c63f00a, строк 1148. вне процентов плана
VN-13;—;сложный;назначено архитектором;закрыт;ВН-a: измеритель сложности шагов;коммит a7ca78d, строк 3612 на три работы. вне процентов плана
VN-14;—;сложный;назначено архитектором;закрыт;ВН-b: реестр состояний в форме ТЗ, 98 шагов и 13 работ;коммит a7ca78d вместе с ВН-a и ВН-c. вне процентов плана
VN-15;—;средний;назначено архитектором;закрыт;ВН-c: две доли на табло и источник состояния из CSV;коммит a7ca78d вместе с ВН-a и ВН-b. вне процентов плана
VN-16;—;сложный;назначено архитектором;закрыт;ВН-d: область публикации как поле внутри cf_publish;коммит e75b188, строк 1583. вне процентов плана
VN-17;—;сложный;назначено архитектором;закрыт;ВН-e: публикация пульта на событии push с пробой узкого ключа;коммиты 3cee7ab и 379b187. вне процентов плана
VN-18;—;очень сложный;назначено архитектором;закрыт;ВН-f: вид пульта приведён к образцу соседнего проекта;коммит 9977e31, три захода: вид, потери, случай цели. вне процентов плана
VN-19;—;сложный;назначено архитектором;закрыт;ВН-g-1: ящик отчётов и местный рубеж по содержимому;коммит 99235df. вне процентов плана
VN-20;—;очень сложный;назначено архитектором;закрыт;ВН-g-2,-3,-4: внешний рубеж, публикация ящика, врезка, сборка приманок;коммит 352415e. живая приманка на публикации сработала, запуск 30962474688. вне процентов плана
VN-21;—;средний;назначено архитектором;закрыт;ВН-i: самодостаточный стенд набора ящика;коммит 2660a71. правило самодостаточного случая внесено. вне процентов плана
VN-22;—;очень простой;назначено архитектором;закрыт;ВН-j: врезка ящика перенесена под фазы;коммит f137423. врезка ящика перенесена под фазы. вне процентов плана
